                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 2.2053,                 1.8532,                 0.9678,                0.31673,                0.34734,                0.26129,                0.08755,                 2.3006,                 1.9256,                0.98138,              0.0081784,              0.0081784,              0.0081784
                     94,                 2.1967,                 1.8377,                0.96636,                0.37473,                0.34432,                0.27839,                0.09991,                 2.2605,                   1.88,                0.97119,              0.0081586,              0.0081586,              0.0081586
                     95,                 2.2001,                 1.8321,                 0.9679,                0.32127,                0.31534,                0.25758,                0.08842,                 2.2781,                 1.9206,                0.97341,              0.0081388,              0.0081388,              0.0081388
                     96,                 2.2089,                 1.8432,                0.97362,                 0.3335,                 0.3622,                0.28609,                0.09645,                 2.2584,                 1.9049,                0.96927,               0.008119,               0.008119,               0.008119
                     97,                 2.2012,                 1.8347,                0.96417,                0.38352,                0.32528,                0.28086,                0.09357,                  2.282,                 1.9124,                0.97662,              0.0080992,              0.0080992,              0.0080992
                     98,                  2.204,                 1.8379,                0.97142,                0.32532,                0.38917,                0.29077,                0.09846,                 2.2899,                 1.8855,                0.97872,              0.0080794,              0.0080794,              0.0080794
                     99,                 2.1931,                 1.8292,                0.97102,                0.29731,                0.36159,                0.25288,                0.08887,                 2.2954,                 1.9068,                0.98084,              0.0080596,              0.0080596,              0.0080596
                    100,                 2.1905,                 1.8282,                0.96714,                0.30586,                0.38418,                0.25621,                0.08906,                 2.3041,                 1.9348,                0.97717,              0.0080398,              0.0080398,              0.0080398
                    101,                 2.2032,                 1.8376,                0.97118,                 0.2924,                0.37908,                0.25453,                0.08691,                 2.2736,                 1.9008,                0.97587,                0.00802,                0.00802,                0.00802
                    102,                 2.1984,                 1.8181,                0.96934,                0.32948,                0.38536,                0.28667,                0.09885,                 2.2768,                  1.941,                0.97486,              0.0080002,              0.0080002,              0.0080002
                    103,                 2.1869,                  1.816,                0.96738,                0.33794,                0.35655,                0.27281,                0.08989,                 2.3004,                 1.9429,                0.97705,              0.0079804,              0.0079804,              0.0079804
                    104,                 2.1783,                 1.8049,                0.97413,                0.30647,                0.39144,                0.28437,                0.09208,                 2.2762,                 1.8661,                0.97381,              0.0079606,              0.0079606,              0.0079606
                    105,                 2.1892,                  1.822,                 0.9721,                 0.3135,                0.36126,                0.26233,                0.09054,                 2.3004,                 1.8859,                0.98415,              0.0079408,              0.0079408,              0.0079408
                    106,                 2.1897,                 1.8082,                 0.9628,                0.36188,                0.38711,                 0.2979,                0.09495,                 2.2855,                 1.8896,                0.97855,               0.007921,               0.007921,               0.007921
                    107,                 2.1847,                 1.7973,                0.96701,                 0.3142,                0.39784,                0.26408,                0.09288,                 2.2586,                 1.9022,                0.97155,              0.0079012,              0.0079012,              0.0079012
                    108,                 2.1967,                 1.7958,                0.97064,                0.33051,                0.32983,                0.26978,                0.09274,                 2.3085,                 1.8796,                0.98112,              0.0078814,              0.0078814,              0.0078814
                    109,                 2.1846,                 1.7971,                0.96693,                0.32755,                0.34253,                0.28017,                0.09925,                 2.2826,                  1.917,                0.97775,              0.0078616,              0.0078616,              0.0078616
                    110,                 2.1888,                 1.7982,                0.96935,                0.34804,                 0.3495,                0.28428,                0.09858,                 2.3054,                 1.8786,                0.97738,              0.0078418,              0.0078418,              0.0078418
                    111,                 2.1773,                 1.7938,                0.96189,                0.34331,                0.38401,                0.29294,                0.09974,                  2.293,                   1.88,                0.98189,               0.007822,               0.007822,               0.007822
                    112,                 2.1917,                 1.7901,                0.96529,                0.36696,                0.39888,                0.29275,                0.10149,                 2.2726,                 1.8745,                0.97739,              0.0078022,              0.0078022,              0.0078022
                    113,                 2.1695,                   1.78,                0.96296,                0.37875,                0.36463,                0.28704,                0.09779,                 2.2994,                 1.9111,                0.97986,              0.0077824,              0.0077824,              0.0077824
